business_name,category,location,description_words,description_chars,quality_bucket,phone,address
"Chronicles","Business","Lagos","23","169","very_thin","0806 607 1971, 0803 769 9362, 0809 400 1274","19, Shogunle Street, off Mobolaji Bank Anthony Way, behind Etiebets Place, Ikeja, Lagos, Nigeria"
"Concept Nova","Business","Lagos","23","166","very_thin","0815 088 0054, 0905 560 8608","Ground Floor, Achillies Place, No. 11 Maye Street, Yaba, Lagos, Nigeria"
"Cybedev Technologies","Business","Lagos","25","206","thin","0810 753 9186","27 Oritshe Street off Balogun Street, Ikeja, Lagos"
"Development Standards Technologies Limited","Business","Lagos","25","191","thin","0803 865 7737","7 Raymond Street Sabo, Yaba, Lagos, Nigeria"
"First Bank Plc","Business","Lagos","20","140","very_thin","0708 062 5000, 01 448 5500","Samuel Asabia House 35, Marina, Lagos Island Nigeria"
"FITglass","Business","Lagos","28","226","thin","0803 898 2315","Bayo Oyewale, 8 Akpomuje Street, Ago Palace Way, Lagos, Nigeria"
"FlexiP Group","Business","Lagos","30","220","thin","0817 200 4171, 01 631 0195, 01 631 0196","FPG Technologies & Solutions LTD, Plot 26A Providence Street, Lekki Phase 1, Lagos"
"Gems Consulting Company Ltd","Business","Lagos","28","205","thin","0815 333 2297, 08074717435, 08077705762","Plot 2D Obasa Close, Oba-Akran, Ikeja, Lagos Nigeria"
"GGRC","Business","Lagos","23","169","very_thin","0805 958 1229","2A Raymond Njoku Street, Ikoyi, Lagos, Nigeria"
"IAF SAWII Limited","Business","Lagos","24","167","very_thin","0903 777 8195","NSPRI Building, 32/34, Barikisu Iyede, UNILAG Road, Abule Oja, Lagos State"
"IBM Innovation Center","Business","Lagos","28","200","thin","01 46 26300, 0809 2780033","5th Floor, Churchgate Tower 2, Plot PC 31, Churchgate street (former Afribak Street), Victoria Island, Lagos Nigeria"
"Ikeja Electric Plc","Business","Lagos","26","197","thin","01 700 0250, 01 227 2940","Obafemi Awolowo Way, Alausa, Ikeja, Lagos, Nigeria"
"Lonadek Nigeria Limited","Business","Lagos","28","209","thin","0906 747 0204, 0813 911 2519","No 12, Jibowu Street, Yaba, Lagos"
"NASME","Business","Lagos","32","230","thin","0811 185 2200, 0803 259 3760, 0818 820 1662","No 5 Olaide Tomori Street, Ikeja, Lagos"
"SEEPCO","Business","Lagos","35","246","thin","0907 000 2300","205 Abiola Segun Street, Off Muri Okunola Street, Victoria Island, Lagos, Nigeria"
"SGK Global Shipping","Business","Lagos","27","187","thin","0705 606 8475, 0818 336 9172","364 Herbert Macaulay Way, Yaba, Lagos, Nigeria"
"Thomas Wyatt (Nigeria) Plc","Business","Lagos","14","115","very_thin","0912 259 1094, 0818 494 4281, 0906 145 0558","10 Abebe Village Road, Iganmu, Lagos"
"Transnational Corporation of Nigeria Plc","Business","Lagos","21","141","very_thin","0814 565 2652, 0906 230 3605","Transnational House  38 Glover Road, (Formerly 22B), Ikoyi, Lagos Nigeria"
"Palette Business Solutions Limited","Business","Lagos","20","155","very_thin","0816 749 1375","19 Adebola Street Via Alhaji Masha Road, Surulere, Lagos, Nigeria"
"Mikano Ltd","Business","Lagos","16","121","very_thin","0700 123 4567, 0812 830 8361, 0812 990 2200","Plot 34/35, 34,35 Acme Road, Ogba Ikeja, Lagos"
"Acmegeo Limited","Business","Lagos","24","208","very_thin","0803 591 6629, 0805 537 2704, 0803 688 7477","House 47 AB Street, Shagari Federal Housing Estate, Ipaja, Lagos State, Nigeria"
"Aniibol Consulting Group","Business","Lagos","31","249","thin","0701 307 5824, 0701 307 5825","260c Muritala Mohammed Way, Yaba, Lagos State, Nigeria"
"Babakusa Limited","Business","Lagos","23","162","very_thin","0805 099 2920","No 114a Lamido Cresent, Giginyu, Kano, Nigeria"
"Crenet","Business","Lagos","17","137","very_thin","0812 090 4963","9, Akinhanmi Street off Western Avenue, Idi Oro, Lagos, Nigeria"
"Economic Associates","Business","Lagos","20","143","very_thin","0803 305 5380, 0703 344 2370, 0809 071 3133","1st Floor, Lindev Plaza, 16 Amodu Ojikutu Street, Victoria Island, Lagos State"
"Fareast Mercantile Co. Ltd","Business","Lagos","29","208","thin","01 280 5293","21, Fatai Atere Way, Matori Mushin, Lagos Nigeria"
"First Aluminium Nigeria","Business","Lagos","23","173","very_thin","0806 263 0211, 0803 283 6326, 0809 822 2157","2 Akilo Street, Ogba Ikeja, Lagos"
"Grandilo","Business","Lagos","22","177","very_thin","0811 187 5720, 01 710 0032","No 32, Barikisu Iyede Street, Off Unilag Road, Yaba, Lagos, Nigeria"
"Gravity Solutions Ltd","Business","Lagos","22","186","very_thin","0803 086 7453, 0802 344 1118","1, Akinwande Street, off Akinhanmi Street, via Western Avenue, Surulere, Lagos, Nigeria"
"Hugs Clearing & Forwarding Agency","Business","Lagos","15","104","very_thin","0806 829 9298, 0903 357 2411","Shop 32 Container Complex, PTML, Tincan-Apapa, Lagos State, Nigeria"
"IT Horizons Nigeria Ltd","Business","Lagos","26","196","thin","0908 736 5220, 0909 599 8817, 0818 903 9359","9B Akin-Ogunmade Davies Street, Gbagada Phase 2, Lagos"
"Kaga Movers","Business","Lagos","24","179","very_thin","+2349074067302, +2347062551624","8, Ayinde Giwa Street, Off Ogunlana Drive, Lagos, Lagos"
"Larrabee Enterprises Limited","Business","Lagos","17","129","very_thin","0809 494 0207, 0809 494 0208, 0802 362 7644","Sharada Road, Plot 61/62 Sharada Industrial Estate Phase III, Kano, Kano, Nigeria"
"CraftsVillage Academy","Arts","Lagos","21","139","very_thin","0706 146 9592","25, Ogunlana Drive, Behind Unity Registrars, Surulere, Lagos"
"Centre for Contemporary Art","Arts","Lagos","28","206","thin","0702 836 7106, 0815 580 7542","9, McEwen Street, Yaba, Lagos Nigeria"
"Charella Nigeria Limited","Arts","Lagos","20","130","very_thin","0909 393 4004","23B, Fatai Atere Way, Matori Industrial Estate, Shomolu, Lagos Nigeria"
"Crafties Hobby Craft Ltd","Arts","Lagos","19","111","very_thin","0803 310 4855, 0703 569 4145, 0817 136 7105","Shop 1, Adebola Shopping Mall, 53, Isaac John Street, GRA Ikeja, Lagos Nigeria"
"Lagos State Council For Arts And Culture","Arts","Lagos","36","225","thin","01 293 0064, 01 7346979","No 133 Obafemi Awolowo Way, Ikeja, Lagos Nigeria"
"National Gallery of Arts","Arts","Lagos","15","98","very_thin","0802 832 2535, 01 5833354, 01 5833350","Entrance B, National Theatre Complex, Orile Iganmu Surulere, Lagos Nigeria"
"Oshodi Art Gallery","Arts","Lagos","18","143","very_thin","8054847010","Plot 115, Oshodi art gallery, opposite Nasfat akasolori, Ikorodu, Lagos, Nigeria"
"Yenwa Art Gallery","Arts","Lagos","21","153","very_thin","0806 926 9824","1-7 Muri Okunola, Victoria Island, Lagos, Nigeria"
"Afrikraft Art & Kraft","Arts","Lagos","26","154","thin","0803 325 8281, 0803 673 0830","Plot 24 Payne Crescent, Apapa, Lagos Nigeria"
"Aris Designs Concept","Arts","Lagos","28","223","thin","0803 640 5324, 0802 307 4365, 01 8234251","Suite 28, 12 King George V. Road, Onikan, Lagos Nigeria"
"Artistic Licence","Arts","Lagos","20","128","very_thin","0702 878 8354","Sandiland Arcade, 230, Muri Okunola Street, Victoria Island, Lagos Nigeria"
"Artsville","Arts","Lagos","26","167","thin","0803 312 8201, 01 4707297","No 1, Old Ipaja Road, Iyana Ipaja, Lagos Nigeria"
"Artzil Online Art Gallery","Arts","Lagos","28","175","thin","0803 224 2802","No 6 Jejelaiye Street, Ojo, Lagos, Nigeria"
"CameraHireLagos","Arts","Lagos","22","125","very_thin","0901 449 9959","Randle Avenue, Surulere, Lagos"
"Castle Walls Limited","Arts","Lagos","38","246","thin","0802 372 2832, 0803 268 9944, 0809 181 1361","No 17, Ibidun Street Off Arowojobe street, Mafoluku Oshodi, Lagos Nigeria"
"CraftlyZone","Arts","Lagos","41","237","thin","0704 624 7946","Elegushi International Craft Market, Lekki, Jakande First Gate, Lekki, Lagos"
"Creative Arts Solution Foundation","Arts","Lagos","15","108","very_thin","0805 603 2631","13 Olu-Ajisegbede Street, PalmGrove Lagos, Nigeria"
"Ethnic Heritage Centre","Arts","Lagos","28","207","thin","0810 027 4291, 0813 565 4974, 01 842 8409","No 35A, Raymond Njoku Street, Ikoyi, Lagos Nigeria"
"Kraft Plus","Arts","Lagos","13","76","very_thin","0802 320 8818, 0702 959 6891","No 14, Mabinuori Dawodu Street, Gbagada Estate Phase 1, Lagos Nigeria"
"Negro Art Gallery","Arts","Lagos","29","178","thin","0803 301 8769, 0702 581 2396","No 77, Adeniran Ogunsanya Street, Surulere, Lagos Nigeria"
"Paint & Bake","Arts","Lagos","39","228","thin","01 271 4157, 01 271 4155","No 267A Etim Inyang Crescent, Victoria Island, Lagos Nigeria"
"National Sport Commission Lagos","Sports","Lagos","21","138","very_thin","01 585 1064, 01 583 6268","National Stadium Premises, Funsho Williams Avenue, Surulere, Lagos Nigeria"
"Island Titans Cricket Club","Sports","Lagos","17","104","very_thin","0807 183 3160","Island Titans Cricket Club Center, Lagos Mainland, Nigeria"
"Lagos State Football Association","Sports","Lagos","27","218","thin","0803 302 0376, 0803 959 5078","LSFA Secretariat, Onikan South West, Ikoyi, Lagos Nigeria"
"Lagos State Sports Council","Sports","Lagos","16","105","very_thin","0802 309 9965","208 Herbert Macauley Road, Rowe Park Sports Centre, Yaba, Lagos Nigeria"
"Mieza Sports","Sports","Lagos","27","159","thin","0909 739 8291","52 Raymond Njoku, Off Awolowo Road, Ikoyi, Lagos Nigeria"
"Nigeria Football Supporters Club","Sports","Lagos","17","105","very_thin","0803 717 5520, 0701 845 4768","No 10, Mabo Street, Surulere, Lagos Nigeria"
"Peniel Sports Marketing Ltd","Sports","Lagos","21","140","very_thin","0806 583 3922, 0802 307 2250","Plot 23, Otunba Adeleke Adeshina, Lekki Phase 1, Lagos Nigeria"
"Samjason Sports Management & Football Club Ltd","Sports","Lagos","27","176","thin","0706 921 6402, 0805 120 0498","No 29 Ola Ojedokun Street, Egan Igando, Lagos Nigeria"
"Sport Verified","Sports","Lagos","41","240","thin","0812 483 9413","12, Adekunle Street, Lekki Phase 1, Lagos"
"Talent Watch Agency Ltd","Sports","Lagos","24","168","very_thin","0806 730 9474, 0815 814 0290","No 1 Mustapha Close Union Road, Dopemu Agege, Lagos Nigeria"
"Carmart Nigeria","Automotive","Lagos","21","115","very_thin","0809 044 4555","KM15, Ikorodu Road, Ojota, Lagos"
"Germaine Auto Centre Limited","Automotive","Lagos","15","103","very_thin","0702 932 8534, 0802 312 7514, 01 774 8000","4th Roundabout, Lekki -Epe  Expressway, Lekki, Lagos Nigeria"
"Globe Motors","Automotive","Lagos","22","145","very_thin","0802 342 3438, 01 774 2257, 01 774 2258","Plot 635 Akin Adesola Street, Victoria Island, Lagos Nigeria"
"Automatics Fit and Energy","Automotive","Lagos","34","224","thin","01 462 7378","1, Prof Olagoke Olabisi, Off Folasade Awe, Oniru Ocean Side, 2nd Roundabout, Lekki Peninsular Lekki, Lagos Nigeria"
"Bhojsons and Co","Automotive","Lagos","27","208","thin","0909 499 9808","24 Kofo Abayomi Street, Victoria Island, Lagos Nigeria"
"Garu Technologies Nigeria Ltd","Automotive","Lagos","18","121","very_thin","0802 319 0606, 0803 715 3628, 0810 103 3337","20 Akinremi street, Anifowose Ikeja, Lagos"
"Honda","Automotive","Lagos","27","165","thin","0803 326 4526, 01 460 0770","13A, Akin Adesola Street, Victoria Island, Eti Osa Lagos"
"Hyundai Motors NIgeria Limited","Automotive","Lagos","23","146","very_thin","0803 402 4967, 01 852 0012","270 Ajose Adeogun Street, Victoria Island, Lagos State, Nigeria"
"Kewalram Nigeria Limited","Automotive","Lagos","32","208","thin","0701 998 0505, 0805 600 3050, 0701 998 0545","122-132, Oshodi Apapa Expressway, Inside Afprint Premises, Isolo, Lagos"
"Leventis Motors","Automotive","Lagos","19","116","very_thin","01-5877187, 01-5872911","2 Wharf Road, Apapa, Lagos State"
"Mercedes Benz Nigeria","Automotive","Lagos","19","133","very_thin","0803 323 4907, 01 270 5936-7","47, Kingsway Road, Ikoyi, Lagos Island"
"Road Truckers Nigeria Ltd","Automotive","Lagos","13","79","very_thin","0818 042 3964, 0802 700 1700, 0816 349 9591","282, Murtala Mohammed Way, Alagomeji Yaba, Lagos"
"Mechanic On The Go","Automotive","Lagos","20","129","very_thin","9165701438","Daily Times opposite mobile filling station on lateef Jakande Road, Agidingbi, Ikeja, Lagos, Nigeria"
"Ryno Autos","Automotive","Lagos","23","164","very_thin","0901 100 1000, 0916 835 1070","89, Opebi Road, Ikeja, Lagos, Nigeria, Ikeja, Lagos"
"Ultim8 Auto Centre","Automotive","Lagos","22","163","very_thin","0805 521 0629, 0808 316 5658","Km 19, Abeokuta Expressway, Opposite The New Pedestrian Bridge, Ikeja Along Bus Stop, Ikeja, Lagos, Nigeria"
"Changan Nigeria","Automotive","Lagos","32","182","thin","0814 133 7991","PLOT 272 Akin Adesola Street, Victoria Island, Lagos"
"Divine Zar Services","Automotive","Lagos","26","159","thin","8024300256","Lekki-Epe Expressway, Lekki, Lekki, Lagos State Nigeria"
"Abimbola Gbadegesin Auto Electrical","Automotive","Lagos","15","107","very_thin","8034046170","31 Adeshina Street, Ijeshatedo, Lagos"
"Arrowhead Automobiles","Automotive","Lagos","38","245","thin","0802 430 0256, 0818 188 6968, 0909 000 6894","35C, Adetokunbo Ademola Street, Victoria Island, Lagos Nigeria"
"Auto Auction Mall","Automotive","Lagos","37","232","thin","0901 536 2533","268 Herbert Macaulay Way, Alagomeji Yaba, Lagos Nigeria"
"Autoselect Nigeria Limited","Automotive","Lagos","21","164","very_thin","0808 201 6758","44, Opebi Road, Opebi Ikeja, Lagos"
"Beta Glass Plc","Automotive","Lagos","12","77","very_thin","0803 912 3883, 01 774 0844","Km 32, Lagos Badagry Expressway, Agbara Industrial Estate Badagry, Lagos Nigeria"
"Car Credit247 Global Limited","Automotive","Lagos","31","212","thin","0811 111 2028, 0903 000 9728","27, Irewole Street, Opebi Ikeja, Lagos"
"Direct Auto Trade","Automotive","Lagos","32","217","thin","0908 155 0496, 0802 587 6288","67, Opebi Road, Opebi Ikeja, Lagos Nigeria"
"GM Nigeria Limited","Automotive","Lagos","12","66","very_thin","0803 316 5120, 01 774 0441, 01 271 2470-4","17, Creek Road, Apapa, Lagos Nigeria"
"Nenis Auto Care","Automotive","Lagos","30","199","thin","0909 385 5222, 0808 376 3330","No 1, Morris Street, off Herbert Macaulay Way, Yaba, Lagos, Nigeria"
"Zelig Autos Limited","Automotive","Lagos","16","86","very_thin","0803 815 6694, 0909 880 6200","2 Aderibigbe Street, by Ogosco Bus stop kilo, Ikate Surulere, Lagos Nigeria"
"God is Good Transport Company","Transportation","Lagos","19","146","very_thin","8139851110","7 Murtala Muhammed Way, Jibowu, Lagos"
"Lagos Metropolitan Area Transport Authority","Transportation","Lagos","31","239","thin","0703 004 0003, 01 270 2778, 01 270 2782","KM 15 Ikorodu Road, Ketu-Ojota Cloverleaf Interchange, Ketu, Lagos, Lagos Island, Lagos State, Nigeria"
"Masglobal Express And Logistics","Transportation","Lagos","18","117","very_thin","0803 301 2502","23, Osolo Way, Ajao Estate, Lagos"
"ABC Transport Plc","Transportation","Lagos","27","194","thin","0814 255 2436, 0805 300 1000, 0706 685 5569","Plot 79, Oba Kayode Akinyemi Way By Festac Bypass, Amuwo-Odofin, Lagos state, Nigeria"
"Chisco Transport Nigeria Limited","Transportation","Lagos","26","192","thin","0810 651 7669, 0811 379 8985, 0808 927 3799","26 Ojo-Igbede Road, By Chemist Bus/stop, Alaba Intï¿½l Market, Ojo-Alaba, Lagos Nigeria"
"Elo-Ex Transport Services","Transportation","Lagos","14","105","very_thin","08099517857, 08099517868","2nd Floor, Providence House, Admiralty Way,, Lekki, Lagos"
"Ronish Nigeria Limited","Transportation","Lagos","27","218","thin","0803 231 4499, 01 776 8514","314 / 316, Old Ojo Road (1st Floor) Opposite Festac 3rd Gate, Amuwo Odofin, Lagos Nigeria"
"Valuehandlers International Limited","Transportation","Lagos","28","195","thin","0803 224 1768, 0818 207 2412","12, Joseph Odunlami Street, Off Thomas Salako Street, Ogba Bus Stop, Ikeja, Lagos"
"Westrend Nigeria Limited","Transportation","Lagos","17","132","very_thin","0805 267 5566, 0805 935 9981","No 297, Ikorodu Road, Idiroko Bus Stop, (Inside Kenn Motors), Maryland, Lagos State, Nigeria"
"Arixpress Logistics Solution","Transportation","Lagos","30","230","thin","0903 392 5653, 0902 385 2932, 08132417466","7 Olufunsho Ayodele street, Abule Egba, Lagos State"
"DIN Logistics","Transportation","Lagos","29","163","thin","0809 444 5693, 0806 738 1176","40, Adegbola Street,, Anifowoshe Ikeja, Lagos Nigeria"
"B2C Logistics","Transportation","Lagos","20","139","very_thin","0704 333 2264, 0806 946 0536","Bamboo Plaza, 6/8 Ogunusi road, Opposite NNPC, Ojodu, Lagos"
"Bosaj Logistics","Transportation","Lagos","31","226","thin","9031375925","585, Agege Motor Way, Shogunle Ikeja, Lagos"
"CarryGo","Transportation","Lagos","33","242","thin","0708 067 2000","20c CarryGo Avenue, Ikeja, Lagos"
"Citylink Courier Nigeria Limited","Transportation","Lagos","31","209","thin","08039745557, 08023100772, 08093300772","Suites 1&4 LSDPC Complex behind Surulere Post Office opposite General Hospital Gbaja Street off Akerele Street, Surulere, Lagos"
"Cityride Transportation Services","Transportation","Lagos","24","190","very_thin","0812 945 9270, 0808 662 9088","Km 14, Beside Zenith Bank, Epe Expressway, Lekki, Lagos, Nigeria"
"Gidierrands","Transportation","Lagos","27","169","thin","08084091988, 08061187990, 08186775259","135 Ogunlana Drive, Surulere, Lagos"
"Jand2Gidi Worldwide","Transportation","Lagos","9","67","very_thin","08090987268, 07056287932, 08068944930","8b Ogidi Crescent, Off Christ Avenue, Lekki 1, Lagos"
"Jhaki Technology Limited","Transportation","Lagos","28","212","thin","0908 077 4081","42 Nnamdi Azikiwe Avenue, Railway Compound, Ebute Metta, Lagos"
"Logistix","Transportation","Lagos","34","245","thin","0706 819 7314","26, Igbasan street, Opebi Ikeja, Lagos"
"Logistix.ng","Transportation","Lagos","24","163","very_thin","0701 647 6145","Plot 23 Kunle Ogunba Street, Off Admiralty Way, Lekki Phase 1, Lagos State"
"Mass Rapid Transit Company Limited","Transportation","Lagos","37","255","thin","0805 519 9810, 01 791 1311, 01 791 1312","No 8, Edmund Crescent, Metroline Corridor, Yaba, Lagos, Nigeria"
"Matrix Delivery Services","Transportation","Lagos","37","236","thin","0803 922 3982","No 65 Opebi Road, Ikeja, Lagos"
"Nuel's Logistics","Transportation","Lagos","37","234","thin","0816 464 4976, 0701 397 5769","Line 13 shop 3 Odua complex, Ojota, Lagos"
"Ontime Infull Resources Limited","Transportation","Lagos","37","232","thin","0907 856 8572","15 Kofo Abayomi Avenue, Apapa, Lagos"
"Prelead Diversified Limited","Transportation","Lagos","24","176","very_thin","0816 860 6876, 0817 954 3703","12, Ogunmodede street Behind Alade market Allen, Ikeja, Lagos"
"Premma Logistics and Transport","Transportation","Lagos","25","169","thin","0803 233 5513","30 Okota Road, Okota Isolo, Lagos"
"Savol West Africa Limited","Transportation","Lagos","28","212","thin","0702 844 0277, 0702 844 0276","Nigerian Ports Authority Complex, Tincan Island Port, Apapa, Lagos Nigeria"
"Soliana Global Ltd","Transportation","Lagos","21","147","very_thin","0803 628 2052, 0803 620 7814","2/9 Command Road By Jerusalem Bus Stop, lpaja, Lagos, Nigeria"
"Swoop Logistics Limited","Transportation","Lagos","27","211","thin","0810 236 2611, 0706 876 0110","236B Muri Okunola Street, Victoria Island, Lagos"
"The Mainland Movers","Transportation","Lagos","39","244","thin","9068487681","16 Tayo Kehinde Crescent, Egbeda, Lagos Nigeria"
"Transita","Transportation","Lagos","31","191","thin","0812 826 3131","19, Giwa Oke Aro, Enilolobo, Lagos"
"Transport Solution Int'l Ltd","Transportation","Lagos","34","212","thin","0803 300 3469","Centage Plaza, Allen Ikeja /Malad Crescent Idimu, Ikeja, Lagos"
"WeMove Technologies Limited","Transportation","Lagos","35","215","thin","0706 349 1201, 0808 651 4565","78 Bode Thomas Street, Surulere, Lagos"
"Upbeat Recreation Centre","Recreation","Lagos","22","144","very_thin","0818 884 4991","No 11, Admiralty Road, Lekki Phase One, Lekki, Lagos"
"Beachland Boat Club","Recreation","Lagos","32","220","thin","0810 210 4242, 0802 318 5934, 01 473 1316","11, Creek Crescent,BeachlandEstate, Olodi Apapa, Lagos Nigeria"
"Dr. Kay","Recreation","Lagos","17","116","very_thin","08072690887, 08034262337, 08033065251","251, 153, Shodex Gardens, Anthony Village, Ikeja, Lagos, Nigeria."
"Fiki Marina","Recreation","Lagos","25","161","thin","0803 306 5636, 0809 345 4225","3/4 Ozumba Mbadiwe Avenue, Victoria Island, Lagos Nigeria"
"Gelah Event Center and Children's Park","Recreation","Lagos","26","178","thin","0816 011 8889, 0807 841 3029, 0905 612 2223","Beside Greenville Estate, Badore Road, Ajah, Lagos Nigeria"
"GET Arena","Recreation","Lagos","24","148","very_thin","0709 521 1515, 0803 305 5959","Plot 6 Abila Oniru/BIS Way, off Ozumba Mbadiwe, Oniru Estate Victoria Island, Lagos Nigeria"
"Ikeja Saddle Club","Recreation","Lagos","33","201","thin","0803 440 0200","Isheri Road, Ojodu-Berger Ikeja, Lagos Nigeria"
"Ikoyi Sports Club","Recreation","Lagos","12","96","very_thin","08028283896, 01-2695133, 01-2695075","6, Ikoyi club 1938 Road, Ikoyi, Lagos"
"Klub De Lag","Recreation","Lagos","32","205","thin","0808 220 8496, 0818 606 0972, 0813 743 7590","10a Babafemi Osoba Crescent, off Admiralty Way, Lekki Phase 1, Lags Nigeria"
"Magretta","Recreation","Lagos","29","149","thin","0816 324 9791","Ekoro road, Agbele, Abule Egba, Lagos, Lagos state"
"TheLagosParty","Recreation","Lagos","22","147","very_thin","0808 702 8641, 0812 778 2804","Kararaa Beach Resort, Ikaare Islands, Lagos Nigeria"
"Water Parks Limited","Recreation","Lagos","15","139","very_thin","08033215862, 01-4937813","31/37 Toyin Street, Ikeja, Lagos, Nigeria."
"1860 Travels","Travel","Lagos","16","125","very_thin","0809 759 1750, 0803 242 9485, 01 295 7031","Suite 18, Sahadatu Plaza, 70D Allen Avenue, Ikeja, Lagos Nigeria"
"Aviator Travels & Tours","Travel","Lagos","18","129","very_thin","07098118073,  01-8425905,  234 1 896 8885","138, Lewis Street, By Moloney Street, Obalende, Lagos State, Nigeria"
"Whereami Travel and Tours","Travel","Lagos","36","192","thin","0708 467 9298","46B Adekunle Fajuyi, Ikeja GRA, Lagos"
"Aero Logistics & Travels","Travel","Lagos","17","124","very_thin","0802 306 9235, 01 4610300","Suite C 247, Ikota Shopping Complex, Eti Osa, Lagos State Nigeria"
"Airjara Travels and Tours","Travel","Lagos","12","84","very_thin","0708 258 5556","27 Sanusi  Fafunwa Street, Victoria Island, Lagos"
"Barclay Travel Agency","Travel","Lagos","12","92","very_thin","0803 326 7709, 0802 223 4532","3rd Floor, 17b, Allen Avenue, Ikeja, Lagos Nigeria"
