MyJobMag Limited,0812 163 3133,"16 Afolabi Aina Street, Allen Ikeja, Lagos",Lagos,Employment,MyJobMag.com is a fast growing job website in Nigeria. We offer you the latest jobs and vacancies in Nigeria today. We assist job seekers by providing latest and verified job adverts and career information from employers and recruiters.
PFB Resources,0905 264 2424,"2nd Floor, The Garnet Building, Igbo Efon Lekki, Lagos Nigeria",Lagos,Employment,"PFB Resources is boutique staffing and training company, immensely successful in creating a network of highly adept intelligent workforce that can help a company achieve their mission-critical projects and goals."
Platinum Careers,0708 656 6206,"40 Agodogba Avenue, Parkview Estate Ikoyi, Lagos",Lagos,Employment,"Platinum Careers are a human resource consulting company with head office in Ikoyi, Lagos. Uniquely African and proudly Nigerian company offering support and services in the area of Human resource solutions."
Rekrut Consulting Limited,0803 307 1649,"26, Michael Adekoya Street, Off Ilupeju By-pass, Off Esther Oshiyemi St, Behind Heritage Bank, Ilupeju, Lagos Nigeria",Lagos,Employment,"Rekrut Consulting Limited is a top class human capital development service provider in Nigeria. Our prime objective is to enable organisations access tomorrowÃ¢â¬â¢s thinking and todayÃ¢â¬â¢s best practices in people management. We hire, train and retain."
TalentUp Africa,0808 851 5604,"7A Milverton Rd, Ikoyi 101233, Lagos",Lagos,Employment,"TalentUp Africa is an HR technology company dedicated to redefining the Human Resource processes and practices in Africa. We offer specialize end to end solutions that simplifies recruitment processes, leveraging advance technology."
Tusen Consulting Limited,"01 6320045, 01 6320026","No 5 Balarabe Musa Crescent Off Samuel Manuwa Street, Victoria Island, Lagos Nigeria",Lagos,Employment,"Tusen Consulting Limited is an indigenous company providing flexible employment arrangements for employers & employees, matching job vacancies with job applicants, improving the employability of the work force and lots more."
Benny Recruitment International Limited,"0812 442 9179, 0806 307 2948","10 Adesanya, Ajah Lagos, Lagos State",Lagos,Employment,"Benny Recruitment International Limited is a recruitment agency operating in Lagos, Nigeria, that caters to the human resource outsourcing needs, and the employment needs of both employers and job seekers."
Deloyjobs,0915 127 2698,"First unity estate, Ajah, Lagos",Lagos,Employment,"Deloy jobs is a recuritment service in Nigeria, that provides expectional workforce solutions and consulting to busineses  . Reach us now for professional assistance in finding great talents for your interests."
People2profit-NG,0812 321 8025,"13, Ikogwe street, Iganmu, Surulere, Lagos",Lagos,Employment,"People2profit-NG offer cutting edge human resource and buisness solution services to client across all sectors. Our service includes recruitment and selection, background checks and verification."
Tybitx Services,0904 089 9631,"334, Ikorodu Road, Maryland, Lagos",Lagos,Employment,"Tybitx Services, Nigeriaâs leading HR and management consulting firm. At Tybitx, we provide HR professional services rooted in Transition Management, empowering companies to achieve their goals through innovative strategies."
Afordonz Limited,"0809 358 3405, 0817 431 6515","3rd Floor, Right Wing, 240, Herbert Macaulay Way, Yaba, Lagos Nigeria",Lagos,Employment,Afordonz Ltd is a multi-dimensional consulting company specializing in human resources solutions and outsourcing services.
Bkl Outsourcing Limited,0907 293 1183,"Alh.Yekini Aromolate, Lagos, Lagos State",Lagos,Employment,Bkl Outsourcing Limited is a startup business process outsourcing provider incorporated in May 2022. We cater to a range of HR business process outsourcing services in the technical and non-Technical space.
CV Experts Limited,0809 647 1837,"8, Alhaji lateef, Sofowora Street,, Gbagada, Lagos State",Lagos,Employment,"CV Experts are a team of expert writers that specialise in:CV writing services, personal statements, statement of purpose, business proposals and drafting professional linkedin pages."
Employment Clinic,"0808 159 6507, 0704 327 8007, 0805 531 2748","No 10, Coker Road, Ilupeju, Lagos Nigeria",Lagos,Employment,Employment Clinic is Africas first employment solutions company based in Nigeria.
Employments Pathway,0806 544 4490,"No 11, Saheed Aregbe Close, Oshodi Isolo, Lagos Nigeria",Lagos,Employment,Employments Pathway is an employment agency located in Oshodi Isolo axis of Lagos providing first-class professional services to its clients.
George Houston Resources Limited,"0703 356 2821, 0907 688 0835","58 Bode Thomas Street, Surulere, Lagos, Nigeria",Lagos,Employment,George Houston Resources Limitedis an integrated human resource services firm registered in Nigeria. We provide our clients with  services that will ensure that their staffing needs are being addressed.
Global Edge Consulting Ltd.,0817 014 9030,"Block P House 8B, June 12 Boulevard Road, Ajah, Lagos Nigeria",Lagos,Employment,Global Edge Consulting Ltd is an international recruitment consultancy that specialises in recruiting internationally-based African candidates for the oil and gas industry.
High Job Link Limited,0806 610 9886,"34 Ire Akari Isaga Tedo, Ikeja, Lagos",Lagos,Employment,High Job Link Limited is a recruitment agency with trusted job search website linking employers with best and qualified job employees and job seekers together. Register as a job employer or as as a job seeker.
Hydra Verifications Ltd,"0809 270 6375, 0902 615 6544","Suit 107, Dolphin Plaza, Dolphin Estate, Ikoyi, Lagos Nigeria",Lagos,Employment,"Hydra Verifications Limited is a privately owned company that specialize on providing companies with employees background checks, certificate verification and related others."
International Executive Placement Services,"0805 774 0534, 01 493 1644","13, Adenubi Close, Allen Avenue, Ikeja, Lagos Nigeria",Lagos,Employment,"International Executive Placement Services is an employment services center located in Ikeja Lagos, renowned for delivering professional services."
Iris Consulting,"0705 514 2635, 01 850796","40B Chris Maduike Drive, Lekki Phase 1, Lagos Nigeria",Lagos,Employment,"Iris offers strategy development, job offerings and business planning services."
J.Dex services,"0907 602 2248, 0806 639 7143, 0706 954 5625","5 Kassim Oyofo close, Ajah, Lagos",Lagos,Employment,"J.Dex is a Nigerian company known for recruitment and deployment of domestic staff such as maids,cleaners, house helps, cook,nannies e.t.c"
Kakaki Consulting,0906 549 4857,"64 Engr Akim Alao Road, Ipaja, Lagos",Lagos,Employment,"Recruitment and business consultancy firm. We recruit, build softwares and hardware infrastructures,"
National Directorate of Employment,0802 313 4669,"7, Barikisu Iyede Street, Onike Lagos Mainland, Nigeria",Lagos,Employment,National Directorate of Employment is a federal government agency centre in Lagos for job creation and employment services
Rapid Career Employment Agency,8127515608,"Adeyemo Alakija inside nut compound suite A&B top floor, Victoria island, Lagos",Lagos,Employment,"Whether you are in search of work or hiring talent or teams,our staffing agency is in the  business of connecting people.We connect you to the best organization/talent that best suits your skills/needs."
African Independent Television - AIT,"08022234564, 01-2644814, 01-2644817","DAAR Communications Complex, AIT Road, Off Lagos/Abeokuta Road, Ilapo Village, Alagbado, Lagos, Nigeria",Lagos,News and Media,The news service center in Lagos for television-broadcasting services.
HyNaija,0806 118 5623,"23 Opebi Road,, Ikeja, Lagos",Lagos,News and Media,"HyNaija was founded in February 2013 with the belief that if Nigerians are empowered with adequate information, we are empowered to make positive changes in our community."
Punch Newspaper,"08069006507, 08150912135, 01-7748081","1 Olu Aboderin Street, Onipetesi, Ikeja, Lagos, Nigeria",Lagos,News and Media,Punch deals on news printing and publishing.
The News Nigeria,"08033066422, 08022236424, 08055002056","27, ACME Road, Agidingbi, Ikeja, Lagos, Nigeria",Lagos,News and Media,"The News Nigeria offers national and international news on sports, lifestyle, fashion, entertainment, technology and weather."
TV360 Nigeria Inc,01 292 6940,"4, Oyetubo Street, Off Awolowo Road, Ikeja, Lagos Nigeria",Lagos,News and Media,"TV360 Nigeria Inc is located in Lagos Nigeria and offers online news on national and international programmes on news, politics, business, health, sports, technology and entertainment."
Ventures Africa,"09093284213, +234-1-2951491, +234-1-75103778",", Lagos State, Nigeria",Lagos,News and Media,"Ventures Africa is an online platform for news, analysis and discussion about African business, policy, innovation and lifestyle, champion an evolving Africa through stories that explore the opportunities, complexity of continent and Africa Diaspora."
Wave.ng,0812 590 0497,"Cherub Mall, KM 18 Lekki-Epe Exp. Lekki peninsula II, Lekki, Lagos",Lagos,News and Media,Wave.ng is an entertainment website in Nigeria. We promote upcoming Nigerian talents while giving you latest news.
Yohaig,0909 040 4558,"7 Morenike Carrena Close, Agege, Lagos State",Lagos,News and Media,Yohaig.ng is an aggregated Naijanews website that brings together all the Naija news you will ever want in one place.
Eko FM 89.75,"08034551750, 01-4960568, 01-4935145","Lateef Jakande Road, Agidingbi, Ikeja, Lagos, Nigeria",Lagos,News and Media,"Eko FM ensures a perfect blend of programming in the area of fun-filled excitement, news coverage and delivery, appropriate musical presentation, socially relevant and audience involving programmes."
Flavision,0903 592 6407,"176 Adetola Street, Aguda, Surulere, Lagos",Lagos,News and Media,"Flavision is an online media site that provides general news with a special focus on what is happening in Nigeria, as they break."
KOKO TV,0905 300 4973,"7B University Road, Yaba, Lagos",Lagos,News and Media,"KOKO TV is a fashion, lifestyle brand that brings latest trends in fashion, entertainment, celebrity news, breaking news in Nigeria and beyond."
Naija Info,9091747196,"15, Udi Street, Ikoyi, Eti Osa, Lagos, Nigeria",Lagos,News and Media,"Naija Info is an online news media with services in news journal and e-newspaper with latest headline news on politics, sports, live, entertainment, opinions and obituaries."
Stars Of Naija Limited,"0808 037 2629, 0814 920 2882","20, Adebiaye Street, Idimu, Lagos",Lagos,News and Media,Starsofnaija.com is a Nigerian-based all round entertainment and lifestyle spot bringing you all the latest news and information you need to know. People all over the world come across loads of information on a daily basis.
The City People Media Group,0802 391 1191,"Akingbola Street, Ikeja, Lagos, Nigeria",Lagos,News and Media,"The City People Media Group provides coverage for the newspaper industry, including business, newsroom, advertising, circulation, marketing and syndicates."
The Union Newspaper,Tel:08033028870,"65, Oduduwa Way, G.R.A, Ikeja, Lagos, Nigeria",Lagos,News and Media,"The Union Newspaper is an online news publishing company offering local and state news, sports, lifestyle, classifieds, business directory, community links & more"
Waystream,0806 313 5432,"4 Ora Ekpen Cresent, Gbagada, Lagos",Lagos,News and Media,Waystream is a platform that allows users to broadcast or listen to live events and pre-recorded audio content (PODCAST).
Lagos State Government,"01 497 9030, 01 496 4832, 01 497 903","The Secretariat, Obafemi Awolowo way, Alausa, Ikeja, Lagos State Nigeria",Lagos,Government,Lagos State Government located in the south western part of Nigeria and capital at Ikeja.
Egole,"01 453 0878, 0700 2687 8384 553","38 Commercial Avenue, Sabo Yaba, Lagos Nigeria",Lagos,Shopping,"Egole Shop is a Lagos based online shopping mall and one of the best place for buying and selling of electronics, furniture, fashion, beauty products and groceries.Best fashion retailers"
Likeparadise.com.ng,9085999936,"36 Marikador Plaze,, Ojo, Lagos",Lagos,Shopping,E-Commerce Site offering Buy Now and Pay Small Small  that allows people to buy good and pay in instalments
Bolton White Hotels,"+23492907535, +234(0)92200222","Plot 7, Gwandu Street, Area 11, Garki, Abuja, FCT",Abuja,Accommodation,An Abuja accommodation and lodging center for hospitality services.
Nicon Luxury Hotel Abuja,09-4619000,"Plot 903, Tafawa Balewa Way, Area 11, Garki, Abuja, FCT, Nigeria",Abuja,Accommodation,"Luxury hotel provides hotel reservation and hotel booking services in Abuja, Nigeria."
Sinoni Lodge,"+234 (0) 702 5848620, +234 (0) 806 7473891, +234 (0) 805 9149857","No 40, Birao Street, Wuse II, Abuja, FCT",Abuja,Accommodation,This Nigerian accommodation service outlet provides lodging and hospitality management services.
Earthplus Residence,0902 270 8208,"Plot 4399 Cadastral Zone E17, Apo resettlement, Abuja, FCT",Abuja,Accommodation,"Earthplus Residenceis an Hotel that offers seamless blend of elegance and modern comfort. Discover an oasis of hospitality at our hotel with featured exquisite Bar, Grill, Lounge and restaurant,"
