business_name,phone,address,location,category,description
Creative Arts Solution Foundation,0805 603 2631,"13 Olu-Ajisegbede Street, PalmGrove Lagos, Nigeria",Lagos,Arts,Creative Arts Solution Foundation is a non-governmental art foundation incorporated in Nigeria at CAC Abuja.
Ethnic Heritage Centre,"0810 027 4291, 0813 565 4974, 01 842 8409","No 35A, Raymond Njoku Street, Ikoyi, Lagos Nigeria",Lagos,Arts,"Ethnic Heritage Centre is a cultural centre in Lagos providing diverse range of programs and services in language teacher outsourcing, cultural activities, skill acquisition, translation & language tutoring."
Kraft Plus,"0802 320 8818, 0702 959 6891","No 14, Mabinuori Dawodu Street, Gbagada Estate Phase 1, Lagos Nigeria",Lagos,Arts,"Kraft Plus is an art crafts sellers and suppliers located in Gbagada, Lagos."
Negro Art Gallery,"0803 301 8769, 0702 581 2396","No 77, Adeniran Ogunsanya Street, Surulere, Lagos Nigeria",Lagos,Arts,"Negro Art Gallery is an art centre that showcases an array of creative and compelling works of arts such as paintings, sculptor, portraits, panel works, metal works and carvings."
Paint & Bake,"01 271 4157, 01 271 4155","No 267A Etim Inyang Crescent, Victoria Island, Lagos Nigeria",Lagos,Arts,"Paint & Bake is an art and entertainment centre for children and adults that promises fun and educative programmes, and is the first ceramic cafe where children are allowed to create and design shape items with their own colour."
National Sport Commission Lagos,"01 585 1064, 01 583 6268","National Stadium Premises, Funsho Williams Avenue, Surulere, Lagos Nigeria",Lagos,Sports,"NSC is a national sport requlatory body for sport development, with visions of creating and sustaining a sports culture/industry in Lagos."
Island Titans Cricket Club,0807 183 3160,"Island Titans Cricket Club Center, Lagos Mainland, Nigeria",Lagos,Sports,Island Titans Cricket Club is one of the Lagos based cricket clubs in Nigeria demonstrating team spirit.
Lagos State Football Association,"0803 302 0376, 0803 959 5078","LSFA Secretariat, Onikan South West, Ikoyi, Lagos Nigeria",Lagos,Sports,"Lagos State Football Association (LSFA) create an honest, ethical, competitive, commercially viable and talent harnessing environment, conducive for the education, employment and development of numerous talented youth."
Lagos State Sports Council,0802 309 9965,"208 Herbert Macauley Road, Rowe Park Sports Centre, Yaba, Lagos Nigeria",Lagos,Sports,Lagos State Sports Council is the Lagos State sports council overseeing the Lagos state sport activities.
Mieza Sports,0909 739 8291,"52 Raymond Njoku, Off Awolowo Road, Ikoyi, Lagos Nigeria",Lagos,Sports,"Mieza Sports is a sport agency in Nigeria that provides services in the areas of consulting and marketing to pro athletes, and brands in the football industry."
Nigeria Football Supporters Club,"0803 717 5520, 0701 845 4768","No 10, Mabo Street, Surulere, Lagos Nigeria",Lagos,Sports,Nigeria Football Supporters Club is a national football fan and supporters club of the Green Eagles team.
Peniel Sports Marketing Ltd,"0806 583 3922, 0802 307 2250","Plot 23, Otunba Adeleke Adeshina, Lekki Phase 1, Lagos Nigeria",Lagos,Sports,Peniel Sports Marketing Limited provides services in the promotion of football products and services in sporting events in Lagos and beyond.
Samjason Sports Management & Football Club Ltd,"0706 921 6402, 0805 120 0498","No 29 Ola Ojedokun Street, Egan Igando, Lagos Nigeria",Lagos,Sports,"Samjason Sports Management & Football Club Limited is a sports management team that is fully focuses on the business of sports and recreations, also trains skilled footballers."
Sport Verified,0812 483 9413,"12, Adekunle Street, Lekki Phase 1, Lagos",Lagos,Sports,We have a dedicated team of football analysts and professional tipsters that have decided to take on the responsibility of providing you with valuable and sure predictions and these have place us to be the best prediction site in the world.
Talent Watch Agency Ltd,"0806 730 9474, 0815 814 0290","No 1 Mustapha Close Union Road, Dopemu Agege, Lagos Nigeria",Lagos,Sports,Talent Watch Agency Limited is a reputable football agency in Nigeria representing Lagos football clubs while providing them with legal advice and consultancy services.
Carmart Nigeria,0809 044 4555,"KM15, Ikorodu Road, Ojota, Lagos",Lagos,Automotive,"CIG Motors is an online car mark in lagos, Nigeria, offering selling of used cars and repairs of cars, motorcycle ."
Germaine Auto Centre Limited,"0702 932 8534, 0802 312 7514, 01 774 8000","4th Roundabout, Lekki -Epe  Expressway, Lekki, Lagos Nigeria",Lagos,Automotive,"Germaine Auto Centre Limited are into vehicle sales, spare parts, services and maintenance of vehicles."
Globe Motors,"0802 342 3438, 01 774 2257, 01 774 2258","Plot 635 Akin Adesola Street, Victoria Island, Lagos Nigeria",Lagos,Automotive,"Trading in motor vehicles and motor spare parts from Mercedes Benz, garage services, Toyota, Honda and Hyundai, also offer financing and leasing."
Automatics Fit and Energy,01 462 7378,"1, Prof Olagoke Olabisi, Off Folasade Awe, Oniru Ocean Side, 2nd Roundabout, Lekki Peninsular Lekki, Lagos Nigeria",Lagos,Automotive,"Automatics Fit and Energy autocare company that offers a wide range of automotive services like vehicle repairs & maintenance, wheel balancing & alignment, & products in automatic tyre changer, GUD filters, tyres & trackers."
Bhojsons and Co,0909 499 9808,"24 Kofo Abayomi Street, Victoria Island, Lagos Nigeria",Lagos,Automotive,"Bhojsons and Co. (Nigeria) Limited specialises in the manufacturing and supplies of automobile, motorcycle, engine, general-purpose engine, pumps and alternators, and other ranges of appliances and equipment."
Garu Technologies Nigeria Ltd,"0802 319 0606, 0803 715 3628, 0810 103 3337","20 Akinremi street, Anifowose Ikeja, Lagos",Lagos,Automotive,Garu Technologies Nigeria Limited is an automotive center in Lagos for engineering works on different brands of vehicles.
Honda,"0803 326 4526, 01 460 0770","13A, Akin Adesola Street, Victoria Island, Eti Osa Lagos",Lagos,Automotive,"Honda Automobile Western Africa, Ltd is a subsidiary of Honda Motor Co., Ltd, Japan in Nigerian that focus on car importation, sales, and maintenance on Honda brand."
Hyundai Motors NIgeria Limited,"0803 402 4967, 01 852 0012","270 Ajose Adeogun Street, Victoria Island, Lagos State, Nigeria",Lagos,Automotive,"Hyundai Motors NIgeria is a motor center for car sales, garage services, caravan and car storage, maintenance and spare parts services on Hyundai."
Kewalram Nigeria Limited,"0701 998 0505, 0805 600 3050, 0701 998 0545","122-132, Oshodi Apapa Expressway, Inside Afprint Premises, Isolo, Lagos",Lagos,Automotive,"Kewalram Nigeria Limited is a leading company in the sales, installation and maintenance of automobiles, such as vans, buses, trucks, pickups etc., and also offers sales of spare parts and trainings services."
Leventis Motors,"01-5877187, 01-5872911","2 Wharf Road, Apapa, Lagos State",Lagos,Automotive,This firm is a major distributor of mercedes automobile range of products / sales /  repairs / maintenance services.
Mercedes Benz Nigeria,"0803 323 4907, 01 270 5936-7","47, Kingsway Road, Ikoyi, Lagos Island",Lagos,Automotive,"Mercedes Benz Nigeria, also called M-B Automobile Services Limited offers services on sales of Mercedes-Benz brands in Lagos Nigeria."
Road Truckers Nigeria Ltd,"0818 042 3964, 0802 700 1700, 0816 349 9591","282, Murtala Mohammed Way, Alagomeji Yaba, Lagos",Lagos,Automotive,Road Truckers Nigeria Limited in Lagos for sales of trucks and repair services.
Mechanic On The Go,9165701438,"Daily Times opposite mobile filling station on lateef Jakande Road, Agidingbi, Ikeja, Lagos, Nigeria",Lagos,Automotive,"Mechanic On The Go offers car repair services such as engine repair replacement, body works and general car maintenance services."
Ryno Autos,"0901 100 1000, 0916 835 1070","89, Opebi Road, Ikeja, Lagos, Nigeria, Ikeja, Lagos",Lagos,Automotive,"Ryno Autos is a one-stop destination for car repair and servicing, including specialized electrical repair services. Experience quality care for your vehicle today."
Ultim8 Auto Centre,"0805 521 0629, 0808 316 5658","Km 19, Abeokuta Expressway, Opposite The New Pedestrian Bridge, Ikeja Along Bus Stop, Ikeja, Lagos, Nigeria",Lagos,Automotive,"Ultim8 Auto Centre specializes in spray booth services, comprehensive car repairs, and expert electrical repairs. Trust us for reliable automotive solutions today."
Changan Nigeria,0814 133 7991,"PLOT 272 Akin Adesola Street, Victoria Island, Lagos",Lagos,Automotive,Changan Nigeria is a subsidiary of Stallion Motors. Changan is one of the biggest and number 1 auto maker in China. Stallion Motors is the sole franchise owner of Changan in Nigeria.
Divine Zar Services,8024300256,"Lekki-Epe Expressway, Lekki, Lekki, Lagos State Nigeria",Lagos,Automotive,"We import and stock latest models both brand new and accident free used of luxury brands like Mercedes Benz, Range Rover, Honda, Toyota, Nissan and Mitsubishi."
Abimbola Gbadegesin Auto Electrical,8034046170,"31 Adeshina Street, Ijeshatedo, Lagos",Lagos,Automotive,"Abimbola Gbadegesin Auto Electrical is an auto electrical part dealer located in Ijeshatedo Lagos, Nigeria."
